Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
196.414062,2454.696716,0.005000,5
117.376465,939.419309,0.004000,4
82.381836,757.490920,0.004000,4
60.464844,757.295639,0.003000,3
46.675293,735.697788,0.003000,3
37.338867,715.136146,0.002000,2
31.172363,806.283279,0.006000,6
26.270508,752.340888,0.004000,4
24.743652,758.740438,0.004000,4
24.842773,865.722350,0.005000,5
23.417969,866.446396,0.005000,5
20.713867,756.135901,0.004000,4
20.771973,781.075445,0.003000,3
20.154297,783.353146,0.004000,4
20.154297,783.353146,0.004000,4
String tested,Total calculation time(milis)
prRENBd,2750
