Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
236.001953,3198.880856,0.006000,6
194.631836,2229.179885,0.005000,5
164.036133,1829.037757,0.004000,4
138.238770,1527.311641,0.003000,3
118.689453,1278.842037,0.003000,3
102.625000,1161.334961,0.004000,4
88.414551,1091.882347,0.015000,15
77.585938,1124.744568,0.004000,4
67.673828,1048.198299,0.004000,4
58.603516,966.751003,0.006000,6
49.708008,796.227241,0.004000,4
46.169434,853.450296,0.003000,3
42.084961,782.201766,0.004000,4
38.573242,840.412604,0.004000,4
35.074707,834.033970,0.005000,5
33.560059,828.268854,0.004000,4
31.043945,829.682639,0.004000,4
30.576172,866.447323,0.006000,6
27.395996,748.314378,0.004000,4
26.496582,825.901356,0.004000,4
25.317383,798.559424,0.004000,4
24.295898,833.543303,0.005000,5
23.268066,797.288004,0.005000,5
23.268066,797.288004,0.005000,5
String tested,Total calculation time(milis)
XEqtBpbJ,150
