Averaged Fitness Value,Standard Deviation value,calculation time(milis)
270.205078,3535.091732,7
172.399414,1240.828750,6
121.439453,952.212154,8
89.969727,809.574279,7
70.213379,776.879762,6
55.792969,816.436630,7
46.457520,824.100734,7
36.290527,765.036199,9
31.529297,784.446407,7
29.917480,939.742702,8
25.742188,820.963806,9
23.029297,779.074337,8
23.272949,840.313682,9
22.846191,893.844019,8
22.545898,832.865081,9
21.047363,840.971878,9
20.529297,840.635860,11
20.097656,851.994370,10
20.389648,833.130401,11
20.319824,863.701912,11
19.712891,831.187099,11
19.737305,809.003257,12
19.232910,837.224561,12
19.266602,816.509002,12
18.650879,844.217470,11
19.121094,819.763657,11
19.830566,805.649515,13
19.420410,860.816908,13
20.254883,879.784644,14
19.326172,821.568417,12
20.058105,868.989300,13
19.613281,840.551620,13
18.839355,819.234447,13
19.861328,880.158504,12
19.927246,829.935625,12
19.513184,886.741037,12
19.675293,842.715366,13
19.366211,827.239913,10
19.402832,848.707355,12
19.297852,802.476714,12
18.894043,805.309574,11
19.703613,877.604049,13
19.707520,872.740139,11
19.367188,839.542908,12
20.936035,963.494444,12
19.103516,847.179714,11
20.362793,902.669651,12
19.656738,866.576019,12
19.795898,869.888030,11
20.182129,930.491731,13
19.792969,842.790146,11
19.363770,813.982418,12
19.359375,880.513428,11
18.591309,812.828577,11
20.396973,901.247198,12
20.589844,895.669662,12
18.900391,864.140469,13
20.336426,894.556251,12
19.142090,818.881666,13
19.998047,879.792965,12
19.707520,885.762600,11
19.892578,865.177914,12
19.045898,800.812346,13
19.979004,851.066454,12
19.766602,844.005095,13
19.229980,815.104824,12
19.815918,869.731251,11
19.228027,827.646734,11
19.355957,843.327884,11
18.939941,826.634577,14
19.943359,835.245815,13
19.270996,803.604784,12
19.810059,837.790582,12
20.394043,899.785648,12
19.261230,888.880489,12
19.760742,863.193732,11
19.231445,829.070457,13
19.315430,831.655387,11
20.516602,928.029021,12
18.545898,783.546721,12
21.141113,935.231552,13
19.486816,860.620920,12
20.875977,939.287353,11
19.979980,847.727627,12
19.834473,882.116644,12
20.040039,891.748397,11
18.905273,835.938293,11
19.846680,852.138602,12
19.442383,861.706641,12
19.453125,892.030029,11
20.390625,887.725342,12
19.017578,838.582699,11
19.922363,870.758133,12
20.446289,883.949264,13
19.329102,900.990325,12
19.984375,857.637451,13
19.104492,854.212714,12
19.625000,842.209961,11
20.515625,865.653076,12
17.860352,772.481475,11
20.150391,876.405117,13
19.593262,816.455169,12
19.802734,876.902493,12
19.546387,897.329880,12
20.009277,867.449621,11
20.198730,866.048885,12
19.755859,882.752895,13
19.875000,866.244141,11
18.630371,814.427339,11
20.362305,864.506431,12
20.072754,891.686601,13
19.394043,852.194828,13
19.375977,850.039306,11
19.299316,841.664804,11
20.242676,874.551948,12
19.666992,836.595160,11
19.839844,849.290756,11
20.085938,889.452576,11
19.915039,881.529891,12
18.771484,799.877468,11
18.883301,831.104057,13
19.346191,877.999780,17
18.321289,781.520797,12
19.289062,821.410583,11
19.068848,809.922506,10
19.494629,853.628877,12
18.965820,859.321097,11
18.359863,800.907120,12
19.116211,841.864425,11
20.194824,887.764290,12
19.710449,876.182274,12
21.293457,949.250309,12
21.065430,955.200797,12
18.752930,845.442863,10
19.749023,843.541503,12
19.322754,821.546709,12
18.915039,836.712508,11
19.555664,842.969558,13
19.937500,825.689453,12
19.612305,878.455161,11
19.197266,822.025539,11
18.809082,849.313648,12
19.694336,851.206374,12
20.069336,861.600661,13
19.699219,839.858749,12
19.708984,862.363552,13
19.600098,853.410879,12
19.111816,837.858103,16
18.986816,838.964182,11
19.218750,810.772461,11
20.371094,896.553696,12
20.604980,868.246792,12
19.063965,800.833311,13
19.245605,799.504619,11
18.986816,805.616525,11
18.899902,849.222891,11
20.387695,917.534263,11
20.178223,883.311498,12
19.844238,827.138336,11
19.784668,858.804706,12
17.824707,748.054722,12
19.756836,849.995559,12
19.287598,816.711721,12
18.869629,865.191499,11
18.388672,847.229794,12
20.033691,890.356775,11
18.701660,852.904646,11
19.002441,823.170404,11
19.134277,853.024450,11
21.057129,928.292146,12
18.942383,809.523047,12
20.470703,928.199337,11
19.475098,881.509145,13
18.481445,793.026023,13
18.777344,801.937729,11
19.167969,802.732529,12
18.838867,799.434974,11
19.817383,834.828956,12
19.285645,825.331005,11
18.688965,860.229917,12
18.954102,820.739104,11
19.396484,810.573269,10
20.550293,896.131260,13
19.144531,838.637314,11
18.821777,844.245092,12
18.580566,787.819681,12
19.230469,834.159775,11
19.941895,868.900432,12
20.257324,873.441108,11
19.462402,855.651907,11
19.451660,817.542585,13
19.523438,841.407654,11
18.792480,820.759182,14
19.268066,820.812418,11
18.425293,805.407505,10
19.873535,865.555784,12
19.306152,865.172384,11
19.369629,857.243746,12
20.576660,895.820295,12
18.865234,819.986721,11
19.947754,876.531938,12
20.106934,885.911905,12
20.141113,835.432724,12
20.065430,831.023063,11
20.442383,899.329688,12
18.395996,804.229418,11
19.932617,892.389014,11
19.192383,856.237403,13
19.633789,860.910811,12
18.992676,798.462349,10
19.748047,885.549801,18
19.506836,875.894485,12
20.943359,928.387417,12
19.838867,866.177161,11
18.861816,801.707956,12
18.662109,809.638760,11
20.331543,873.285099,11
20.421387,854.341476,14
19.510254,866.162004,11
18.386230,824.703853,11
19.546875,872.080811,11
19.467285,859.778227,13
19.020508,840.418525,11
18.589844,805.261459,11
19.443359,884.352261,12
19.421875,845.713623,11
19.742676,875.225288,11
19.111328,815.237606,13
19.559570,853.821647,11
19.154785,829.225553,17
19.727051,851.807823,12
21.103516,899.480495,13
19.621582,827.066272,12
19.316895,858.788738,11
19.458984,850.989529,12
18.860840,816.038740,11
19.963379,864.751100,12
18.152344,784.353745,11
20.351074,921.910438,12
18.914062,821.460388,12
20.239746,903.346330,11
19.616699,835.981498,11
19.378418,861.051624,11
19.294922,823.131771,11
20.574219,853.144882,13
19.700684,908.092539,13
19.499512,866.865234,13
19.620605,870.379009,13
19.710938,858.218201,12
20.046387,864.676071,11
18.514648,814.995879,10
18.748535,803.811277,11
19.232422,838.950863,12
19.065918,869.954151,12
19.626465,865.324827,12
20.435547,920.263424,11
17.707520,778.111233,11
19.587402,831.017751,12
19.626953,848.340328,11
19.949219,858.328476,12
18.822754,835.495439,10
20.117188,895.709900,12
19.739746,836.781389,12
19.469238,858.328155,11
19.482422,820.710629,12
18.608398,806.478484,11
19.438477,865.936645,12
19.402832,807.388019,11
19.059082,845.290943,11
18.886230,826.623287,12
19.988770,829.395870,10
19.923828,849.164120,13
19.599609,822.959805,12
20.216797,860.961788,12
19.294922,844.467709,12
19.533203,844.916866,11
19.631348,873.992513,11
19.808594,835.207504,12
19.381348,816.159750,11
19.107910,863.865797,13
20.919922,897.496517,12
19.600586,880.111953,14
20.429688,882.155212,13
20.135742,880.964972,12
19.568848,862.729635,13
18.912598,805.223318,11
20.333008,859.701606,13
19.688477,860.143188,11
19.102539,851.628158,11
19.540039,845.206405,11
19.116211,860.117354,13
19.328125,817.632568,13
19.295410,838.475721,12
18.338379,800.662355,12
20.647461,873.908919,12
19.907715,850.792753,12
19.882324,849.186836,11
19.924805,853.272666,12
19.861328,887.651669,11
19.803711,899.445846,12
19.895508,858.652167,11
19.095703,845.705685,13
19.103516,846.388699,10
19.121582,846.296253,12
20.813477,939.932982,12
19.340332,808.635639,11
19.621582,866.231312,12
20.846680,897.546805,12
18.623047,784.763180,11
20.257812,909.454041,13
20.174316,877.769907,11
19.939941,826.612116,12
19.899902,842.045156,11
20.176270,872.710628,11
19.677246,838.939287,12
20.557617,887.498633,11
20.428711,892.574996,11
19.721191,852.605371,11
19.273438,838.969177,11
19.024414,836.870498,12
20.245117,870.324683,13
19.196777,840.165869,14
19.048828,833.836483,11
20.150391,866.569180,11
19.643555,833.165915,12
19.913574,872.321144,12
19.386719,869.588730,12
20.257812,915.552673,12
19.152832,799.656818,11
20.042480,868.079738,12
19.748535,884.117918,12
19.516113,837.588608,12
19.730957,897.734745,11
20.223145,882.466320,12
19.027344,808.521713,11
19.351074,870.222938,12
19.438965,893.405454,12
18.831055,834.724387,17
19.300781,812.381210,12
18.528809,816.707178,11
18.642090,833.614576,11
20.935547,923.781979,12
19.938477,841.401488,11
19.035156,823.325912,11
18.801758,851.236091,12
20.366699,888.880668,12
19.099121,800.725038,11
19.833008,855.108832,11
20.234375,885.326904,12
19.628418,863.018665,11
19.533691,836.333826,11
19.307129,851.712801,11
18.316406,771.911606,11
18.782227,818.666442,12
19.140137,866.078506,11
19.982422,895.128597,11
18.847656,813.274643,12
18.805664,827.286452,11
20.479492,888.702704,13
19.825684,844.021860,11
19.018555,808.727195,11
20.063965,915.977842,12
20.044434,880.863748,12
19.782227,868.184020,11
18.698242,821.685309,14
19.139160,850.080732,11
20.416992,900.856391,12
19.699707,871.148594,11
19.474121,811.707338,12
19.000488,835.495605,11
19.463867,840.034827,11
19.833496,848.358507,11
20.291016,899.928982,12
19.509277,810.588781,11
18.935059,853.468927,12
20.895508,929.468574,11
