Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
270.205078,3535.091732,0.014000,14
172.399414,1240.828750,0.004000,4
121.439453,952.212154,0.004000,4
89.969727,809.574279,0.004000,4
70.213379,776.879762,0.003000,3
55.792969,816.436630,0.004000,4
46.457520,824.100734,0.004000,4
36.290527,765.036199,0.004000,4
31.529297,784.446407,0.003000,3
29.917480,939.742702,0.004000,4
25.742188,820.963806,0.004000,4
23.029297,779.074337,0.004000,4
23.272949,840.313682,0.004000,4
22.846191,893.844019,0.005000,5
22.545898,832.865081,0.003000,3
21.047363,840.971878,0.004000,4
20.529297,840.635860,0.003000,3
20.097656,851.994370,0.004000,4
20.389648,833.130401,0.003000,3
20.319824,863.701912,0.005000,5
19.712891,831.187099,0.004000,4
19.737305,809.003257,0.005000,5
19.232910,837.224561,0.004000,4
19.266602,816.509002,0.009000,9
18.650879,844.217470,0.004000,4
19.121094,819.763657,0.003000,3
19.830566,805.649515,0.004000,4
19.420410,860.816908,0.004000,4
20.254883,879.784644,0.005000,5
19.326172,821.568417,0.004000,4
20.058105,868.989300,0.004000,4
19.613281,840.551620,0.005000,5
18.839355,819.234447,0.005000,5
19.861328,880.158504,0.005000,5
19.927246,829.935625,0.003000,3
19.513184,886.741037,0.004000,4
19.675293,842.715366,0.004000,4
19.366211,827.239913,0.003000,3
19.402832,848.707355,0.004000,4
19.297852,802.476714,0.003000,3
18.894043,805.309574,0.004000,4
19.703613,877.604049,0.005000,5
19.707520,872.740139,0.004000,4
19.367188,839.542908,0.005000,5
20.936035,963.494444,0.004000,4
19.103516,847.179714,0.004000,4
20.362793,902.669651,0.004000,4
19.656738,866.576019,0.004000,4
19.795898,869.888030,0.004000,4
20.182129,930.491731,0.003000,3
19.792969,842.790146,0.004000,4
19.363770,813.982418,0.005000,5
19.359375,880.513428,0.004000,4
18.591309,812.828577,0.005000,5
20.396973,901.247198,0.004000,4
20.589844,895.669662,0.004000,4
18.900391,864.140469,0.004000,4
20.336426,894.556251,0.004000,4
19.142090,818.881666,0.004000,4
19.998047,879.792965,0.003000,3
19.707520,885.762600,0.004000,4
19.892578,865.177914,0.004000,4
19.045898,800.812346,0.004000,4
