Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
282.158203,3973.669308,0.004000,4
178.137695,1409.532798,0.004000,4
126.995605,1124.310039,0.004000,4
90.660645,968.075756,0.005000,5
67.673340,881.609602,0.004000,4
51.407227,883.560729,0.005000,5
40.255371,866.809297,0.004000,4
32.767090,796.451124,0.004000,4
31.523438,841.415466,0.004000,4
31.209961,1028.301620,0.004000,4
27.092285,862.760526,0.004000,4
24.689453,861.680904,0.003000,3
24.109863,876.917129,0.003000,3
23.825195,919.492881,0.003000,3
23.433105,904.612713,0.004000,4
22.275879,880.389223,0.004000,4
21.127930,876.069571,0.004000,4
21.568359,919.136929,0.004000,4
21.072266,882.722317,0.003000,3
20.898926,916.312538,0.004000,4
20.151855,861.956920,0.003000,3
20.679688,869.868103,0.004000,4
21.137207,932.245334,0.003000,3
20.333008,842.603950,0.004000,4
20.245605,913.868877,0.003000,3
20.586914,875.224868,0.003000,3
20.586914,875.224868,0.003000,3
String tested,Total calculation time(milis)
tAxrZPOes,5279
