Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
467.630371,6794.575777,0.004000,4
402.327148,4617.678130,0.003000,3
351.327148,3621.042388,0.004000,4
309.399902,3077.928457,0.004000,4
274.455078,2576.036068,0.004000,4
243.494629,2388.665987,0.004000,4
216.572266,2173.842434,0.005000,5
191.372070,2038.755118,0.004000,4
169.502441,1744.545892,0.006000,6
149.398926,1367.385292,0.004000,4
135.766113,1329.495590,0.004000,4
123.492676,1291.410103,0.006000,6
111.249023,1211.804198,0.004000,4
99.586426,1202.129249,0.004000,4
90.138184,1129.972605,0.005000,5
81.111816,1098.110056,0.004000,4
74.104004,1076.503343,0.005000,5
65.917969,966.627060,0.005000,5
59.720703,939.206173,0.004000,4
54.964844,913.850327,0.005000,5
50.908691,922.503870,0.006000,6
48.189453,950.682858,0.004000,4
44.593262,930.117279,0.005000,5
42.712891,952.817959,0.006000,6
40.164551,936.411888,0.007000,7
37.825684,944.693735,0.004000,4
35.401367,884.507850,0.005000,5
34.035156,922.832748,0.004000,4
33.868164,962.537307,0.004000,4
31.110840,907.352461,0.006000,6
31.083496,998.680040,0.004000,4
29.727051,953.900596,0.004000,4
28.291016,926.861599,0.005000,5
26.442871,902.671541,0.004000,4
27.571777,1002.262426,0.018000,18
25.640137,941.856338,0.004000,4
25.149902,920.450674,0.005000,5
24.653809,965.897241,0.006000,6
24.089844,924.957748,0.004000,4
23.339355,888.586498,0.004000,4
24.987793,964.494480,0.005000,5
23.295410,943.456190,0.005000,5
23.243652,911.628622,0.004000,4
22.333496,911.587511,0.006000,6
22.708984,957.444607,0.005000,5
22.751465,958.829344,0.003000,3
23.036621,968.838991,0.006000,6
21.601562,889.424255,0.004000,4
21.779297,949.465939,0.005000,5
21.798340,959.293806,0.005000,5
22.324219,995.570663,0.006000,6
22.757324,1059.146675,0.005000,5
21.043945,968.836936,0.006000,6
19.529785,885.628996,0.005000,5
20.632812,954.208923,0.004000,4
21.055664,975.497878,0.005000,5
21.366211,999.250655,0.004000,4
20.424316,979.922006,0.004000,4
20.684082,939.282520,0.004000,4
20.681641,907.168179,0.005000,5
21.191895,966.354290,0.004000,4
