Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
288.244629,3236.311739,0.004000,4
191.791016,1207.783474,0.003000,3
143.891113,1012.032577,0.004000,4
108.106445,831.776755,0.003000,3
82.826660,752.113020,0.005000,5
66.610352,788.395049,0.004000,4
53.847656,725.141830,0.005000,5
46.364746,752.555925,0.004000,4
41.780762,796.653595,0.006000,6
37.430664,824.561599,0.005000,5
31.328613,752.993088,0.004000,4
29.444336,754.633620,0.004000,4
28.028809,757.192041,0.004000,4
27.291992,812.570014,0.004000,4
25.597168,750.268879,0.005000,5
24.572266,740.743801,0.005000,5
25.204590,781.107069,0.004000,4
23.613770,736.058346,0.004000,4
25.167969,833.243271,0.004000,4
24.220703,831.260860,0.004000,4
21.677246,715.482256,0.003000,3
22.112305,789.726645,0.004000,4
21.678711,758.410445,0.004000,4
20.816895,743.591961,0.004000,4
20.662598,778.560476,0.003000,3
20.694336,779.069655,0.005000,5
20.074219,757.260117,0.004000,4
20.043945,789.641623,0.005000,5
20.550781,805.206406,0.003000,3
20.317871,811.287142,0.004000,4
20.170898,775.581145,0.004000,4
19.851074,790.873817,0.005000,5
19.863770,776.736812,0.005000,5
19.757812,760.381775,0.004000,4
19.804199,780.968986,0.004000,4
20.790039,828.060409,0.005000,5
19.244629,727.269747,0.005000,5
19.273438,744.085388,0.005000,5
20.666016,824.815212,0.004000,4
19.848633,784.788611,0.004000,4
19.697266,796.802883,0.004000,4
19.489258,780.661017,0.004000,4
20.286133,776.564612,0.004000,4
20.748535,847.082762,0.005000,5
19.243652,777.839559,0.004000,4
20.579590,823.955580,0.004000,4
20.577148,781.677642,0.004000,4
19.208496,755.704088,0.006000,6
20.684570,838.511832,0.003000,3
20.218750,806.614258,0.004000,4
19.930664,803.681716,0.004000,4
19.667969,768.767685,0.004000,4
20.179199,829.117790,0.011000,11
19.703125,797.309326,0.005000,5
20.533691,789.178552,0.005000,5
20.552246,856.827348,0.004000,4
19.501953,756.911129,0.005000,5
19.412109,781.185635,0.005000,5
20.807617,837.281348,0.004000,4
20.279297,813.510860,0.004000,4
19.958008,809.588080,0.003000,3
19.301758,741.228278,0.004000,4
20.819824,815.563728,0.003000,3
19.528320,761.608573,0.005000,5
20.504883,796.545875,0.004000,4
19.810059,785.169489,0.003000,3
20.526367,788.970008,0.004000,4
18.946777,752.721288,0.005000,5
19.822266,807.484035,0.004000,4
20.471680,806.519706,0.004000,4
19.815918,764.491016,0.004000,4
20.651855,826.223034,0.005000,5
20.073242,762.062018,0.003000,3
20.716309,872.620203,0.005000,5
19.883789,788.984542,0.004000,4
19.866211,825.705733,0.005000,5
20.201660,796.216657,0.004000,4
20.098633,789.370154,0.004000,4
19.471191,767.844873,0.003000,3
20.357910,797.385084,0.004000,4
20.554199,807.224602,0.005000,5
19.853027,779.310919,0.005000,5
20.645508,814.133124,0.005000,5
21.018066,843.382974,0.004000,4
20.785645,849.570751,0.005000,5
19.364258,783.843879,0.005000,5
19.547852,773.370757,0.004000,4
19.909668,794.620258,0.004000,4
19.508789,768.213790,0.005000,5
20.747559,848.949457,0.005000,5
19.794434,772.634012,0.004000,4
19.807129,796.049227,0.004000,4
21.070801,818.249382,0.005000,5
20.186523,813.316772,0.005000,5
19.865234,807.160549,0.005000,5
20.407715,819.200468,0.005000,5
19.632324,786.483467,0.004000,4
20.314941,794.138605,0.004000,4
20.033691,767.571619,0.003000,3
19.779297,822.165157,0.003000,3
20.467285,803.231352,0.003000,3
19.953613,780.578415,0.004000,4
20.275879,816.242738,0.004000,4
19.769531,817.621689,0.003000,3
20.629395,824.613140,0.005000,5
20.383301,815.741264,0.004000,4
20.273926,816.008461,0.004000,4
19.907227,779.138854,0.004000,4
19.562988,742.101501,0.005000,5
20.425781,826.016953,0.005000,5
20.542969,789.592880,0.004000,4
19.126465,754.493284,0.004000,4
19.522949,776.379356,0.004000,4
20.810059,835.219293,0.004000,4
20.258301,814.797050,0.005000,5
20.113770,772.722896,0.005000,5
20.261719,804.405136,0.004000,4
20.665527,821.733343,0.005000,5
19.448242,775.634040,0.005000,5
19.124023,740.618407,0.004000,4
19.511230,815.274288,0.005000,5
19.438965,798.510923,0.004000,4
