Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
634.506836,397.510695,0.008000,8
615.034180,690.330863,0.008000,8
585.766602,1028.123260,0.007000,7
550.976562,1249.339294,0.006000,6
514.975586,1486.327529,0.005000,5
475.263672,1645.731258,0.005000,5
435.644531,1751.049423,0.005000,5
393.774414,2105.236220,0.006000,6
353.002930,2221.695304,0.005000,5
310.102539,2585.585189,0.004000,4
264.726562,2463.401794,0.005000,5
224.213867,2384.928870,0.005000,5
186.889648,2327.679229,0.005000,5
148.237305,2019.012046,0.004000,4
148.237305,2019.012046,0.004000,4
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,1292
