Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.040039,391.594100,0.005000,5
567.182617,711.349463,0.006000,6
538.066406,998.800278,0.005000,5
503.403320,1341.884208,0.006000,6
465.522461,1699.043441,0.006000,6
425.605469,1785.570908,0.007000,7
383.164062,1888.328552,0.005000,5
341.972656,2037.514877,0.006000,6
301.489258,2117.557502,0.005000,5
261.103516,2299.758816,0.005000,5
220.415039,2461.009383,0.004000,4
178.691406,2289.205551,0.004000,4
178.691406,2289.205551,0.004000,4
String tested,Total calculation time(milis)
DhXGuTbVcpMA,1090
