Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.056641,3089.131557,0.005000,5
232.447754,2354.897661,0.004000,4
198.809082,1963.635914,0.004000,4
170.770508,1676.986396,0.004000,4
146.250977,1448.455565,0.004000,4
125.887695,1351.171958,0.005000,5
107.778809,1255.278711,0.003000,3
93.780762,1090.457306,0.004000,4
82.082031,1005.738388,0.006000,6
70.706543,822.114567,0.003000,3
62.969238,826.383331,0.004000,4
57.068359,789.626186,0.005000,5
52.541992,812.834174,0.003000,3
47.045898,765.497893,0.004000,4
44.039551,772.150291,0.003000,3
41.912109,797.696377,0.004000,4
38.886719,825.869980,0.005000,5
36.089355,739.312816,0.004000,4
34.298828,766.529842,0.003000,3
31.681641,745.229702,0.006000,6
29.647949,729.992759,0.004000,4
29.677734,770.468410,0.004000,4
27.862305,785.271079,0.005000,5
27.686523,808.495482,0.004000,4
27.132324,867.314033,0.004000,4
24.661621,766.537355,0.005000,5
24.502930,800.582999,0.004000,4
22.670898,767.377044,0.004000,4
23.111816,860.842478,0.002000,2
21.429199,763.143425,0.005000,5
20.561035,777.316587,0.005000,5
20.561035,777.316587,0.005000,5
String tested,Total calculation time(milis)
EBsXFOqoKP,193
