Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
587.670898,364.643645,0.007000,7
569.042969,678.869247,0.005000,5
540.419922,944.940853,0.007000,7
507.802734,1338.140774,0.006000,6
470.107422,1611.414242,0.007000,7
429.155273,1970.917296,0.005000,5
386.860352,2225.152373,0.006000,6
341.230469,2271.044540,0.007000,7
295.131836,2299.006057,0.005000,5
252.407227,2310.660338,0.006000,6
213.051758,2305.677009,0.005000,5
177.241211,2107.867599,0.005000,5
146.567383,2041.488624,0.004000,4
112.490234,1903.076077,0.004000,4
112.490234,1903.076077,0.004000,4
String tested,Total calculation time(milis)
Hello world!,1302
