Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
293.372070,4235.956290,0.005000,5
234.887695,2904.059653,0.003000,3
191.325684,2144.951059,0.003000,3
153.811523,1682.909789,0.003000,3
123.532227,1280.104430,0.003000,3
102.270508,1186.096747,0.003000,3
85.262207,1125.588962,0.003000,3
71.323730,1070.506038,0.004000,4
58.030762,935.593292,0.005000,5
49.850586,929.929824,0.004000,4
43.080078,875.348080,0.005000,5
38.953125,937.443115,0.004000,4
34.588379,870.829103,0.003000,3
31.434570,880.201774,0.004000,4
29.886230,926.156490,0.004000,4
27.987305,918.128745,0.003000,3
25.940918,908.362232,0.003000,3
24.553223,856.584081,0.004000,4
21.900879,830.156679,0.003000,3
22.748535,981.672605,0.003000,3
21.400391,886.471523,0.003000,3
21.400391,886.471523,0.003000,3
String tested,Total calculation time(milis)
HowAreYou,1955
