Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
441.699219,253.362656,0.006000,6
431.132812,470.005798,0.007000,7
414.799805,794.881797,0.005000,5
390.180664,1161.734939,0.005000,5
366.821289,1450.784469,0.005000,5
336.567383,1828.109717,0.007000,7
306.176758,2168.146491,0.005000,5
272.856445,2551.557517,0.005000,5
238.056641,2543.098354,0.004000,4
206.386719,2410.772324,0.007000,7
176.289062,2356.932068,0.005000,5
148.989258,2191.898322,0.005000,5
126.020508,2011.751533,0.005000,5
126.020508,2011.751533,0.005000,5
String tested,Total calculation time(milis)
IjCeByNpm,93
