Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.519531,361.620712,0.005000,5
519.941406,644.820786,0.006000,6
491.840820,962.089896,0.005000,5
458.437500,1350.585938,0.005000,5
420.810547,1563.698483,0.006000,6
379.428711,1854.898238,0.006000,6
338.935547,2204.921627,0.006000,6
293.339844,2250.271225,0.005000,5
251.464844,2388.576889,0.006000,6
208.320312,2373.936462,0.005000,5
208.320312,2373.936462,0.005000,5
String tested,Total calculation time(milis)
ImDNfLbXCGx,911
