Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
343.886719,198.858261,0.005000,5
335.478516,441.079617,0.005000,5
319.897461,724.061751,0.005000,5
298.066406,1055.733871,0.005000,5
274.233398,1348.338103,0.005000,5
247.739258,1657.047248,0.005000,5
221.845703,1735.655880,0.005000,5
194.575195,1757.436728,0.004000,4
171.757812,1812.339783,0.004000,4
145.571289,1844.595504,0.005000,5
145.571289,1844.595504,0.005000,5
String tested,Total calculation time(milis)
NYFOgtw,63
