Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
204.980469,2653.678329,0.005000,5
168.564453,2003.549557,0.003000,3
140.643555,1615.831931,0.002000,2
118.040527,1393.941229,0.003000,3
100.377441,1191.864862,0.004000,4
86.895996,1081.387132,0.003000,3
73.691895,968.767864,0.003000,3
64.977051,905.630821,0.004000,4
58.637695,965.798423,0.004000,4
50.808105,859.791790,0.003000,3
44.913574,830.464699,0.003000,3
40.959473,866.698065,0.003000,3
38.064453,835.957760,0.003000,3
34.743164,808.896926,0.003000,3
31.326172,782.996151,0.003000,3
30.950684,862.163095,0.004000,4
28.949707,876.785068,0.004000,4
28.423340,877.523420,0.005000,5
25.816895,763.167156,0.003000,3
24.895508,824.620917,0.004000,4
24.067871,805.876741,0.011000,11
23.015625,789.452881,0.004000,4
23.598633,868.769568,0.004000,4
22.980469,857.887314,0.003000,3
22.249512,820.406006,0.005000,5
21.761230,839.322384,0.004000,4
21.619141,878.115688,0.003000,3
20.469238,820.715851,0.004000,4
20.047852,844.315093,0.004000,4
21.115234,910.577541,0.005000,5
21.115234,910.577541,0.005000,5
String tested,Total calculation time(milis)
NYFOgtw,174
