Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.089844,452.370834,0.007000,7
661.640625,678.656006,0.008000,8
632.485352,1013.012481,0.008000,8
597.958984,1317.318630,0.007000,7
562.260742,1609.586310,0.007000,7
522.104492,1717.690253,0.007000,7
479.794922,1940.875912,0.006000,6
437.875977,2126.396728,0.007000,7
394.208984,2285.702419,0.007000,7
352.553711,2664.914107,0.005000,5
304.077148,2788.113189,0.004000,4
258.100586,3177.007461,0.005000,5
208.593750,3045.776367,0.005000,5
162.036133,2780.473304,0.005000,5
162.036133,2780.473304,0.005000,5
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,1306
