Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.654297,295.470333,0.006000,6
424.638672,582.486629,0.005000,5
399.584961,877.317977,0.004000,4
370.278320,1200.654960,0.006000,6
337.246094,1458.529282,0.004000,4
300.498047,1802.291012,0.004000,4
263.945312,1997.715759,0.004000,4
224.125977,2175.310302,0.004000,4
183.652344,2372.109604,0.005000,5
142.661133,2269.920325,0.004000,4
142.661133,2269.920325,0.004000,4
String tested,Total calculation time(milis)
TBJalImUZ,935
