Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.285156,3627.493881,0.007000,7
218.619141,2249.234829,0.004000,4
181.150879,1750.205263,0.004000,4
147.698242,1414.725348,0.003000,3
122.082031,1292.847763,0.003000,3
101.967285,1155.846098,0.003000,3
84.374023,962.918700,0.003000,3
71.431152,986.925924,0.003000,3
60.836426,929.332130,0.004000,4
52.005371,915.806123,0.003000,3
46.264648,845.248321,0.004000,4
41.874023,870.181396,0.004000,4
38.831055,935.294700,0.004000,4
34.723633,872.516395,0.003000,3
32.753418,847.353748,0.003000,3
30.154785,873.916960,0.004000,4
29.011230,897.586300,0.003000,3
27.137207,829.046116,0.003000,3
26.514160,848.667768,0.003000,3
26.163086,876.814223,0.003000,3
25.010254,928.475969,0.004000,4
23.513672,882.035946,0.003000,3
22.220215,882.256681,0.004000,4
21.393555,865.080466,0.004000,4
20.613770,845.756588,0.004000,4
20.784180,850.539359,0.004000,4
20.784180,850.539359,0.004000,4
String tested,Total calculation time(milis)
VbTHsrIpt,2427
