Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.741211,278.790450,0.006000,6
474.326172,540.952206,0.005000,5
449.780273,808.594298,0.006000,6
422.182617,1187.863135,0.006000,6
385.258789,1376.104903,0.005000,5
347.988281,1657.671738,0.005000,5
310.971680,2112.190604,0.004000,4
268.789062,2112.205505,0.004000,4
227.895508,2114.272285,0.005000,5
189.355469,2005.443954,0.005000,5
152.221680,1570.698905,0.004000,4
127.124023,1730.840087,0.004000,4
127.124023,1730.840087,0.004000,4
String tested,Total calculation time(milis)
WRynAoIrxu,1078
