Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
331.170898,4562.513762,0.003000,3
269.240234,2838.803616,0.004000,4
225.549316,2211.937021,0.003000,3
186.378418,1889.805530,0.003000,3
155.105469,1587.502548,0.004000,4
128.797363,1362.362747,0.003000,3
106.781738,1097.378631,0.004000,4
90.782715,1100.912260,0.003000,3
78.055176,1089.192756,0.003000,3
65.697266,1003.157375,0.003000,3
56.167480,948.054470,0.003000,3
48.783203,944.099483,0.003000,3
42.972168,924.208698,0.004000,4
38.187500,900.099609,0.004000,4
33.721680,885.607108,0.004000,4
31.294922,909.568295,0.004000,4
30.027344,964.501205,0.004000,4
27.652832,857.159260,0.004000,4
26.260254,864.881975,0.004000,4
27.444336,979.862136,0.005000,5
26.019043,981.153446,0.005000,5
24.259766,896.212795,0.004000,4
23.067383,922.470069,0.005000,5
23.135742,982.441535,0.004000,4
22.023438,903.618591,0.005000,5
20.360352,915.735381,0.003000,3
19.795410,925.619764,0.003000,3
20.300781,910.647812,0.005000,5
20.041992,879.599799,0.003000,3
20.041992,892.131049,0.003000,3
19.878418,908.249378,0.005000,5
19.539551,839.963279,0.005000,5
20.010254,898.807024,0.004000,4
21.278809,952.069238,0.004000,4
19.875000,888.538086,0.004000,4
19.584473,904.475286,0.003000,3
19.515137,883.633560,0.003000,3
19.515137,883.633560,0.003000,3
String tested,Total calculation time(milis)
WRynAoIrxu,3523
