Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
315.402832,3979.857746,0.004000,4
257.871582,2529.907825,0.004000,4
216.700684,1980.089609,0.004000,4
178.479980,1632.910732,0.003000,3
149.074707,1541.609165,0.004000,4
122.864258,1338.958137,0.004000,4
100.196777,1170.346533,0.004000,4
83.619629,1054.082369,0.004000,4
69.747559,955.705316,0.004000,4
61.898926,924.475624,0.004000,4
54.557617,865.518165,0.004000,4
49.658203,904.476925,0.003000,3
45.514160,896.903120,0.004000,4
40.891602,880.565398,0.003000,3
37.341797,900.683956,0.003000,3
35.351562,920.248474,0.005000,5
31.833008,872.865668,0.004000,4
31.014648,969.161895,0.004000,4
28.731445,936.251121,0.003000,3
26.712402,946.704885,0.004000,4
26.399414,958.646132,0.003000,3
24.296875,902.689209,0.005000,5
23.656250,924.410156,0.003000,3
22.530762,934.323272,0.004000,4
22.339355,935.617748,0.004000,4
20.530273,902.093810,0.005000,5
21.589844,973.268295,0.005000,5
20.877441,935.564569,0.005000,5
20.723633,967.862098,0.004000,4
20.723633,967.862098,0.004000,4
String tested,Total calculation time(milis)
WYoCRnrbkQe,2741
