Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
150.111328,2167.667294,0.004000,4
118.799805,1657.940391,0.004000,4
96.000488,1385.599121,0.006000,6
78.400879,1191.198183,0.004000,4
64.735840,1057.237348,0.004000,4
53.770996,906.735155,0.004000,4
46.478516,915.916531,0.003000,3
41.089355,886.012035,0.005000,5
38.399902,912.447012,0.003000,3
34.202637,938.211380,0.005000,5
30.267090,868.546339,0.003000,3
27.489258,869.370002,0.004000,4
26.363281,850.325058,0.005000,5
26.363281,850.325058,0.005000,5
String tested,Total calculation time(milis)
blgpK,77
