Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
343.833008,200.200629,0.008000,8
334.941406,434.762192,0.004000,4
320.156250,681.811523,0.004000,4
298.295898,993.726897,0.004000,4
275.961914,1224.172378,0.004000,4
251.113281,1404.619980,0.019000,19
226.982422,1672.339535,0.004000,4
201.069336,1742.460036,0.005000,5
177.045898,1983.900237,0.005000,5
149.252930,1996.561027,0.004000,4
149.252930,1996.561027,0.004000,4
String tested,Total calculation time(milis)
cUlqThj,79
