Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.994141,459.632778,0.010000,10
613.583984,771.237087,0.007000,7
582.343750,1164.038086,0.006000,6
543.559570,1463.745475,0.006000,6
505.366211,1919.201827,0.005000,5
459.277344,2151.528549,0.006000,6
414.838867,2144.505286,0.006000,6
372.128906,2224.178696,0.005000,5
331.025391,2390.843105,0.005000,5
287.919922,2551.630306,0.004000,4
244.340820,2428.764701,0.003000,3
201.035156,2378.030014,0.004000,4
160.678711,2276.638961,0.004000,4
160.678711,2276.638961,0.004000,4
String tested,Total calculation time(milis)
fuvsirPdjYDae,1215
