Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.807617,432.791114,0.006000,6
662.631836,698.395705,0.008000,8
633.334961,1013.438582,0.008000,8
597.578125,1270.892334,0.006000,6
561.152344,1647.988510,0.007000,7
519.042969,1812.755966,0.006000,6
477.221680,2098.677421,0.006000,6
433.139648,2259.917998,0.006000,6
385.375977,2433.159423,0.006000,6
337.856445,2606.586814,0.006000,6
289.711914,2672.231460,0.006000,6
242.475586,2693.139052,0.005000,5
198.417969,2741.442490,0.005000,5
198.417969,2741.442490,0.005000,5
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,1236
