Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.594727,291.681457,0.005000,5
472.978516,583.413601,0.005000,5
448.413086,882.393813,0.005000,5
418.374023,1238.615966,0.006000,6
380.791016,1468.905544,0.005000,5
339.897461,1837.245345,0.004000,4
298.925781,2149.334335,0.004000,4
256.289062,2170.603943,0.005000,5
216.352539,2190.162826,0.004000,4
178.740234,2280.737209,0.005000,5
140.732422,2047.510433,0.004000,4
140.732422,2047.510433,0.004000,4
String tested,Total calculation time(milis)
kBcpJtaHSO,1001
