Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
271.104492,3973.236152,0.002000,2
214.430176,2439.317390,0.004000,4
176.281738,1908.614471,0.004000,4
141.078613,1488.754074,0.003000,3
114.576172,1244.460995,0.003000,3
93.418945,1109.922141,0.004000,4
77.210449,959.290184,0.004000,4
66.791504,992.561510,0.002000,2
57.578125,907.715576,0.003000,3
50.973633,919.629188,0.004000,4
46.097168,902.816242,0.003000,3
40.883789,838.485518,0.004000,4
38.456543,941.154361,0.003000,3
36.241699,1005.401054,0.004000,4
32.095215,886.271696,0.004000,4
29.919434,915.588724,0.005000,5
26.034668,789.085224,0.003000,3
26.083008,897.982368,0.003000,3
23.826660,839.822004,0.003000,3
23.264648,844.335235,0.004000,4
22.822266,888.501614,0.004000,4
22.123535,899.131712,0.003000,3
21.305176,901.594856,0.004000,4
21.474609,934.105801,0.004000,4
21.474609,934.105801,0.004000,4
String tested,Total calculation time(milis)
mdcBYpoEq,2240
