Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
150.522461,1601.956527,0.003000,3
122.780762,1255.955353,0.003000,3
101.334961,1014.207137,0.003000,3
84.866699,949.165336,0.004000,4
71.961426,803.360328,0.004000,4
61.502441,729.178705,0.012000,12
53.222168,680.281208,0.003000,3
48.019043,753.385868,0.003000,3
43.625000,713.550781,0.004000,4
38.213379,676.994020,0.003000,3
34.193848,629.764669,0.003000,3
31.496582,641.781238,0.003000,3
29.728027,665.346441,0.003000,3
28.208496,691.979479,0.003000,3
25.385254,650.510271,0.003000,3
25.385254,650.510271,0.003000,3
String tested,Total calculation time(milis)
pIHJOB,84
