Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
196.414062,2454.696716,0.004000,4
154.205566,1770.146707,0.004000,4
122.920410,1292.114271,0.003000,3
96.232910,1042.976515,0.005000,5
77.679199,907.131950,0.004000,4
64.674316,884.600473,0.003000,3
53.551758,766.160407,0.004000,4
46.150391,796.862148,0.004000,4
40.745605,809.814678,0.004000,4
36.179688,785.599548,0.003000,3
32.412109,750.114346,0.003000,3
29.601074,801.657753,0.004000,4
26.135254,753.323015,0.004000,4
24.840820,765.651420,0.004000,4
23.464844,769.727280,0.005000,5
23.157715,842.148466,0.004000,4
23.157715,842.148466,0.004000,4
String tested,Total calculation time(milis)
prRENBd,1484
