Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
490.034180,290.965629,0.005000,5
474.301758,593.360114,0.006000,6
449.492188,928.746033,0.005000,5
418.906250,1270.483398,0.004000,4
381.264648,1481.066680,0.004000,4
339.921875,1792.767334,0.005000,5
298.745117,2131.286597,0.005000,5
254.101562,2219.993591,0.004000,4
213.105469,2191.527939,0.005000,5
177.993164,2101.294875,0.006000,6
142.934570,2097.394156,0.004000,4
142.934570,2097.394156,0.004000,4
String tested,Total calculation time(milis)
EBsXFOqoKP,1008
