Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.116211,334.326339,0.006000,6
475.673828,572.006893,0.007000,7
457.133789,895.153975,0.005000,5
430.717773,1216.525817,0.006000,6
405.083008,1461.125922,0.006000,6
375.761719,1795.220566,0.004000,4
344.150391,1879.258633,0.008000,8
315.190430,2054.651237,0.005000,5
282.895508,2258.852363,0.004000,4
250.727539,2397.175765,0.006000,6
221.601562,2606.126404,0.005000,5
187.524414,2505.639052,0.005000,5
158.525391,2438.255215,0.004000,4
158.525391,2438.255215,0.004000,4
String tested,Total calculation time(milis)
HJbFYeySsu,95
