Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.946289,295.553756,0.006000,6
473.618164,556.195998,0.005000,5
448.681641,873.750210,0.005000,5
418.745117,1173.962379,0.006000,6
384.843750,1349.584961,0.005000,5
346.064453,1493.691158,0.005000,5
311.918945,1816.776633,0.006000,6
274.350586,2055.632949,0.003000,3
233.173828,1939.243221,0.004000,4
195.410156,1972.097397,0.004000,4
158.891602,2096.281219,0.005000,5
158.891602,2096.281219,0.005000,5
String tested,Total calculation time(milis)
HqOhgBcoiM,985
