Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
278.201172,3424.848202,0.004000,4
226.674316,2020.090708,0.005000,5
191.453613,1536.316208,0.004000,4
159.535645,1295.654003,0.004000,4
134.034180,1162.760550,0.004000,4
113.225098,1012.807241,0.005000,5
97.460449,974.259178,0.004000,4
82.742188,942.970642,0.004000,4
71.783203,939.833858,0.003000,3
60.973145,852.212658,0.004000,4
53.404785,803.964567,0.004000,4
46.992676,780.665474,0.004000,4
42.363770,789.432613,0.003000,3
39.266113,879.590805,0.004000,4
35.963867,824.315101,0.003000,3
33.207520,844.164455,0.003000,3
30.202637,827.808059,0.003000,3
29.461426,871.546364,0.004000,4
27.777832,860.412067,0.005000,5
26.324219,881.903671,0.004000,4
24.810059,817.425348,0.005000,5
24.630371,918.975191,0.004000,4
22.375000,815.756836,0.004000,4
22.266602,880.461150,0.003000,3
21.560547,855.762936,0.004000,4
20.572266,800.578762,0.004000,4
20.878906,878.199203,0.004000,4
19.634277,835.608923,0.004000,4
20.064453,888.197018,0.004000,4
20.648926,845.029579,0.005000,5
20.375488,852.487427,0.004000,4
20.478027,878.146002,0.003000,3
20.478027,878.146002,0.003000,3
String tested,Total calculation time(milis)
kBcpJtaHSO,3037
