Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
297.983887,3383.158432,0.003000,3
254.300781,2428.392929,0.002000,2
221.117676,1993.034492,0.002000,2
192.968262,1673.202606,0.003000,3
167.759277,1412.734533,0.003000,3
146.927734,1234.031887,0.002000,2
130.637207,1189.992893,0.015000,15
116.885742,1125.169562,0.003000,3
103.117188,1094.907166,0.003000,3
89.767578,889.402035,0.002000,2
80.909668,920.286274,0.004000,4
72.604492,809.371894,0.003000,3
66.660156,851.096420,0.004000,4
59.693359,801.293667,0.004000,4
54.986816,805.120432,0.004000,4
50.149902,787.519033,0.003000,3
47.507324,880.854439,0.004000,4
42.307129,711.678621,0.003000,3
39.380859,781.823696,0.003000,3
37.012207,765.187839,0.004000,4
33.874023,755.634521,0.003000,3
33.904297,824.778927,0.005000,5
31.600098,803.347402,0.003000,3
30.282227,738.038512,0.004000,4
29.576172,823.350643,0.003000,3
28.098145,788.411754,0.003000,3
26.844727,789.044250,0.004000,4
25.339355,760.462475,0.003000,3
26.466309,890.201990,0.004000,4
23.950195,779.733848,0.003000,3
23.781738,835.641327,0.006000,6
23.984375,872.970459,0.004000,4
21.737305,763.361655,0.005000,5
22.604004,839.541918,0.005000,5
21.722656,824.632065,0.004000,4
21.700195,833.971641,0.005000,5
19.981445,756.235007,0.005000,5
20.915527,837.370306,0.005000,5
20.370605,831.686382,0.004000,4
19.225098,769.740835,0.005000,5
20.130371,827.012789,0.005000,5
19.226074,752.439613,0.004000,4
19.343262,800.132660,0.005000,5
18.415039,789.115829,0.005000,5
19.950684,844.023447,0.004000,4
18.602051,801.120445,0.005000,5
19.466797,846.879757,0.003000,3
19.722168,810.726032,0.004000,4
18.653320,809.758719,0.003000,3
19.146484,819.989285,0.003000,3
19.431152,820.360494,0.004000,4
20.532715,884.824125,0.004000,4
20.077637,881.037430,0.005000,5
18.095703,736.616817,0.003000,3
18.176758,743.363288,0.004000,4
19.724609,847.557949,0.005000,5
19.630371,863.586519,0.003000,3
19.502441,854.437494,0.003000,3
18.954102,789.677581,0.004000,4
20.106934,818.735147,0.006000,6
19.102539,816.247298,0.003000,3
18.617188,742.471619,0.003000,3
19.779785,815.015470,0.006000,6
19.119141,820.767056,0.003000,3
19.062988,786.115661,0.013000,13
19.938477,820.004027,0.003000,3
18.836914,773.665786,0.003000,3
18.914551,755.084984,0.004000,4
18.914551,755.084984,0.004000,4
String tested,Total calculation time(milis)
ImDNfLbXCGx,413
