Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
297.983887,3383.158432,0.008000,8
245.631348,2199.515951,0.004000,4
207.626465,1806.239866,0.003000,3
171.582520,1388.807644,0.003000,3
145.292480,1206.519436,0.004000,4
122.995605,1083.874492,0.004000,4
104.089844,1018.438217,0.004000,4
89.621094,931.822250,0.004000,4
75.247070,768.558097,0.004000,4
65.488281,821.687363,0.005000,5
57.364258,813.166144,0.004000,4
52.436523,833.271361,0.004000,4
46.125000,788.041992,0.003000,3
43.233398,834.809783,0.004000,4
40.351562,810.775818,0.003000,3
36.642578,835.045101,0.003000,3
33.645020,748.731899,0.004000,4
32.467285,843.071195,0.005000,5
31.269043,895.890018,0.004000,4
28.650391,820.084805,0.004000,4
26.714355,801.645458,0.004000,4
24.367188,764.688416,0.004000,4
24.133301,814.262016,0.004000,4
23.551270,801.080379,0.003000,3
23.152344,794.677963,0.003000,3
22.032227,847.906188,0.004000,4
20.211914,781.860366,0.003000,3
21.031250,867.203125,0.004000,4
20.161133,806.419349,0.004000,4
19.340332,777.280170,0.004000,4
19.593262,825.814544,0.004000,4
18.571289,781.660933,0.004000,4
21.103516,869.766628,0.004000,4
19.143066,798.837442,0.004000,4
20.861328,900.271786,0.003000,3
20.451172,893.185116,0.004000,4
19.609863,818.886368,0.004000,4
20.142090,836.894361,0.004000,4
20.687500,898.758789,0.005000,5
19.212402,820.126272,0.005000,5
20.114258,857.488898,0.005000,5
19.543457,883.150455,0.004000,4
19.147949,802.959068,0.003000,3
20.203613,854.253952,0.005000,5
20.119141,850.750454,0.005000,5
18.197754,768.357866,0.004000,4
19.060059,833.398248,0.003000,3
18.954590,809.519911,0.003000,3
19.491211,832.737227,0.004000,4
19.553711,900.867232,0.005000,5
18.489258,738.172736,0.004000,4
20.148438,895.949646,0.004000,4
17.812500,750.235352,0.004000,4
18.356934,771.066446,0.004000,4
18.574707,792.272739,0.004000,4
19.123047,803.828609,0.004000,4
19.195801,854.430900,0.004000,4
18.738770,785.133419,0.004000,4
19.447754,829.809770,0.004000,4
19.702637,828.896438,0.003000,3
19.401855,812.947399,0.004000,4
18.603027,820.418096,0.004000,4
19.599609,845.523281,0.004000,4
19.388184,818.232614,0.004000,4
19.523438,811.792419,0.004000,4
19.283203,816.425655,0.004000,4
19.283203,816.425655,0.004000,4
String tested,Total calculation time(milis)
ImDNfLbXCGx,6456
