Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.631836,360.260940,0.004000,4
520.019531,657.421494,0.005000,5
491.865234,974.352932,0.005000,5
460.405273,1320.001769,0.007000,7
423.159180,1545.634818,0.005000,5
383.300781,1778.362656,0.005000,5
342.060547,1861.965084,0.004000,4
303.979492,2093.294501,0.005000,5
264.492188,2166.441345,0.006000,6
229.082031,2286.169052,0.005000,5
188.369141,2465.016079,0.004000,4
188.369141,2465.016079,0.004000,4
String tested,Total calculation time(milis)
WYoCRnrbkQe,999
