Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
327.569824,3800.686531,0.004000,4
271.524902,2381.304067,0.004000,4
230.920898,1926.621673,0.004000,4
192.853027,1551.653692,0.004000,4
162.451172,1334.835506,0.004000,4
137.425293,1170.994419,0.003000,3
116.623047,1076.687984,0.005000,5
99.111328,1023.614559,0.004000,4
86.283691,1007.752039,0.004000,4
73.731445,926.830222,0.003000,3
64.065430,845.475211,0.003000,3
55.993652,912.761190,0.003000,3
47.530762,864.669952,0.003000,3
42.944336,878.631667,0.004000,4
37.791016,813.429958,0.004000,4
34.903320,795.394950,0.003000,3
33.478027,843.166509,0.003000,3
33.201660,912.556501,0.004000,4
30.005371,878.346163,0.003000,3
26.841797,798.704464,0.004000,4
25.627441,851.821649,0.003000,3
24.447266,847.703274,0.004000,4
22.956055,897.336936,0.003000,3
21.115723,808.646276,0.003000,3
20.884766,863.380276,0.004000,4
19.620117,877.713111,0.004000,4
20.232910,904.189405,0.003000,3
19.300293,826.946445,0.003000,3
19.972168,934.766315,0.004000,4
19.974121,898.186342,0.003000,3
19.989746,938.717180,0.003000,3
19.804688,848.497986,0.003000,3
19.236328,825.574032,0.004000,4
19.931641,889.415249,0.005000,5
20.117188,874.166931,0.003000,3
19.840332,856.192768,0.004000,4
20.580566,948.288431,0.004000,4
19.925293,888.393345,0.003000,3
19.576172,825.372128,0.004000,4
20.206055,878.684104,0.004000,4
19.453613,853.216598,0.004000,4
19.119141,848.019985,0.004000,4
20.168457,919.432071,0.005000,5
19.856934,844.706583,0.004000,4
19.692383,862.859473,0.004000,4
19.240234,831.963772,0.004000,4
19.153320,892.894462,0.004000,4
19.977051,899.039024,0.005000,5
19.155273,831.618468,0.005000,5
19.628418,879.857532,0.006000,6
19.663086,875.296645,0.004000,4
20.219238,872.923126,0.004000,4
20.177246,897.921221,0.004000,4
18.755371,839.386934,0.004000,4
19.791992,818.861030,0.004000,4
19.672363,845.572830,0.004000,4
19.070312,869.597595,0.004000,4
19.214844,867.560287,0.005000,5
20.037109,885.349209,0.004000,4
19.652832,884.555744,0.004000,4
18.508789,814.098556,0.003000,3
20.295410,888.469862,0.003000,3
19.437500,875.084961,0.003000,3
19.822266,849.319973,0.005000,5
18.667969,813.851669,0.004000,4
18.614746,813.033708,0.005000,5
20.294922,905.632748,0.005000,5
19.934570,851.848258,0.005000,5
20.366699,863.763481,0.005000,5
19.674316,889.613168,0.005000,5
21.646973,961.109258,0.004000,4
18.788086,823.496108,0.003000,3
19.772461,857.838851,0.004000,4
19.807617,878.420020,0.004000,4
18.814941,819.267999,0.004000,4
19.134277,875.084997,0.003000,3
19.993652,861.612753,0.003000,3
21.481445,1001.989890,0.004000,4
19.526855,871.596935,0.003000,3
18.978516,857.128445,0.004000,4
19.866211,847.105147,0.003000,3
19.618164,855.614944,0.004000,4
19.126953,819.592281,0.003000,3
19.605469,832.688095,0.003000,3
19.406738,851.925873,0.004000,4
19.677734,850.739895,0.004000,4
18.550781,829.366562,0.003000,3
19.937988,883.336487,0.004000,4
19.977539,874.828597,0.004000,4
19.933594,845.623520,0.004000,4
19.207520,907.001369,0.006000,6
19.105469,808.197861,0.005000,5
18.676758,803.909186,0.003000,3
19.802246,879.984819,0.004000,4
21.489258,916.470588,0.003000,3
20.316895,860.174480,0.003000,3
20.316895,860.174480,0.003000,3
String tested,Total calculation time(milis)
DhXGuTbVcpMA,9407
