Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.186523,382.674193,0.008000,8
568.354492,685.427070,0.006000,6
539.335938,1006.590271,0.006000,6
505.019531,1371.191025,0.005000,5
469.077148,1680.251861,0.006000,6
428.261719,2012.701035,0.005000,5
381.083984,2257.223415,0.005000,5
333.818359,2205.439663,0.004000,4
290.092773,2273.282409,0.005000,5
247.919922,2201.825619,0.004000,4
210.141602,2227.860808,0.004000,4
173.076172,2252.841854,0.003000,3
136.616211,2022.778487,0.004000,4
136.616211,2022.778487,0.004000,4
String tested,Total calculation time(milis)
lGPTmRHveSbg,1185
