Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
378.707031,4528.720810,0.004000,4
327.136230,2966.275875,0.004000,4
288.134277,2437.652380,0.004000,4
254.960938,1992.249451,0.005000,5
227.750000,1816.445312,0.004000,4
202.765137,1693.053726,0.003000,3
181.583984,1516.057400,0.004000,4
162.977051,1448.552696,0.004000,4
145.121582,1291.263050,0.006000,6
129.477051,1138.751426,0.005000,5
116.992676,1119.781685,0.005000,5
105.654297,1033.473263,0.004000,4
95.488770,969.354366,0.004000,4
85.632324,911.005928,0.005000,5
78.439941,948.875299,0.004000,4
71.897461,931.346908,0.005000,5
65.959961,866.678084,0.005000,5
60.319336,824.448806,0.004000,4
55.625000,849.017578,0.004000,4
51.378418,797.726429,0.006000,6
47.583984,802.633572,0.004000,4
45.496582,821.397449,0.004000,4
42.410645,807.824047,0.005000,5
40.896973,817.766241,0.004000,4
38.002930,769.843741,0.004000,4
37.094727,837.810363,0.005000,5
35.118164,801.721389,0.004000,4
33.215332,810.907245,0.004000,4
33.472656,871.197495,0.006000,6
30.853027,784.603887,0.004000,4
30.464844,838.536850,0.004000,4
29.745605,830.342998,0.020000,20
27.805176,801.392219,0.004000,4
27.055176,814.531624,0.004000,4
26.814453,891.197018,0.007000,7
25.599609,828.986172,0.004000,4
24.638672,800.552059,0.004000,4
24.587891,882.124111,0.005000,5
23.087402,825.635427,0.005000,5
22.723145,826.922863,0.004000,4
22.758789,842.891036,0.005000,5
22.758789,842.891036,0.005000,5
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,277
