Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
378.707031,4528.720810,0.007000,7
316.970215,2866.250578,0.004000,4
272.306641,2215.219448,0.002000,2
230.411621,1796.441408,0.004000,4
196.399902,1531.010488,0.003000,3
167.649414,1336.351699,0.003000,3
142.870605,1154.003277,0.003000,3
125.110352,1097.050323,0.004000,4
107.840332,982.345112,0.004000,4
94.042969,925.526474,0.004000,4
81.400391,862.529140,0.005000,5
71.865234,832.299221,0.003000,3
63.342773,885.038756,0.003000,3
56.416016,796.062283,0.003000,3
50.841309,782.356165,0.003000,3
46.718750,838.292969,0.004000,4
42.402832,774.299152,0.004000,4
40.773926,860.440590,0.005000,5
37.900879,817.153749,0.004000,4
36.083008,820.593696,0.004000,4
33.860840,773.497724,0.004000,4
31.769531,776.074814,0.004000,4
30.653809,836.563257,0.004000,4
29.477051,807.787559,0.004000,4
28.821777,933.320287,0.005000,5
26.336914,783.003676,0.004000,4
26.056641,831.965542,0.002000,2
23.689941,768.332086,0.005000,5
23.861816,855.239206,0.004000,4
22.507324,761.592720,0.005000,5
22.233398,821.934783,0.004000,4
22.908203,865.024776,0.004000,4
21.456543,794.821354,0.004000,4
22.233398,882.351775,0.004000,4
21.903320,851.747489,0.004000,4
21.622559,864.857050,0.005000,5
21.093262,803.523041,0.004000,4
20.751953,823.070309,0.004000,4
21.163086,845.575942,0.003000,3
19.949219,807.593124,0.004000,4
20.087402,823.978201,0.004000,4
21.531738,918.953094,0.003000,3
18.900391,781.727383,0.004000,4
19.635742,843.224738,0.004000,4
20.072754,886.253008,0.003000,3
18.719727,815.347228,0.004000,4
19.201172,814.431210,0.004000,4
19.740234,846.134670,0.003000,3
19.962891,847.083584,0.003000,3
19.636719,851.299667,0.003000,3
18.763184,817.154367,0.004000,4
18.402832,786.725910,0.004000,4
18.970215,795.867765,0.004000,4
19.726562,850.426208,0.004000,4
19.828125,948.081787,0.005000,5
20.057129,928.684725,0.005000,5
19.364746,836.553972,0.004000,4
19.189453,831.003170,0.005000,5
19.723145,838.185558,0.005000,5
19.148926,822.980263,0.005000,5
20.112305,856.737388,0.004000,4
20.021973,889.540045,0.004000,4
19.844238,836.427398,0.003000,3
19.476074,863.119545,0.003000,3
19.704102,873.144866,0.003000,3
19.772461,826.943343,0.005000,5
19.194824,866.243782,0.004000,4
19.647949,862.334556,0.004000,4
19.413574,852.277687,0.004000,4
20.216797,878.616085,0.004000,4
20.025391,908.879238,0.003000,3
19.431152,842.380026,0.004000,4
19.666992,879.485785,0.004000,4
19.855469,830.866806,0.004000,4
19.525391,834.267910,0.005000,5
19.423340,854.270490,0.005000,5
19.203613,831.998092,0.004000,4
19.335449,801.513939,0.005000,5
18.799316,838.121347,0.004000,4
21.182617,914.312354,0.004000,4
19.018066,819.091959,0.004000,4
18.711426,822.949440,0.004000,4
21.106445,884.599021,0.004000,4
20.222168,891.141559,0.005000,5
20.346191,896.970484,0.004000,4
18.364258,783.311652,0.003000,3
19.319336,870.565993,0.004000,4
19.764648,846.352813,0.004000,4
19.764648,846.352813,0.004000,4
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,8600
