Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.006836,446.705031,0.008000,8
661.186523,701.375365,0.007000,7
632.666016,1060.568142,0.007000,7
597.138672,1365.543270,0.007000,7
556.723633,1686.091590,0.006000,6
515.869141,1999.537563,0.006000,6
470.893555,2309.406638,0.006000,6
423.793945,2486.826682,0.006000,6
377.900391,2601.353359,0.005000,5
329.550781,2828.411484,0.005000,5
280.170898,2681.269622,0.006000,6
234.697266,2354.986477,0.005000,5
194.497070,2277.676749,0.005000,5
156.162109,2090.446377,0.005000,5
156.162109,2090.446377,0.005000,5
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,1300
