Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
467.630371,6794.575777,0.004000,4
394.124512,4135.407837,0.004000,4
340.148926,3049.673622,0.004000,4
289.652832,2573.879963,0.005000,5
247.831055,2334.555442,0.004000,4
209.097168,1877.631672,0.004000,4
177.748047,1670.642574,0.005000,5
150.647461,1495.197005,0.003000,3
127.821777,1370.753881,0.004000,4
107.297363,1092.500931,0.005000,5
92.775879,1053.356508,0.004000,4
80.862793,1013.536350,0.003000,3
71.173340,979.720442,0.003000,3
64.037598,1016.842825,0.003000,3
58.164062,934.258240,0.004000,4
53.910645,929.790355,0.004000,4
48.388184,844.635935,0.004000,4
46.817871,878.006380,0.004000,4
44.929688,943.097595,0.004000,4
41.789062,859.351013,0.003000,3
40.023926,992.921791,0.003000,3
37.851074,956.324013,0.004000,4
35.428223,913.063207,0.003000,3
35.973145,985.671642,0.004000,4
34.662598,916.055593,0.004000,4
33.017578,874.504574,0.004000,4
33.298340,915.051130,0.004000,4
31.838379,895.169679,0.004000,4
31.805664,986.950515,0.004000,4
30.332031,980.286240,0.004000,4
29.947754,931.241899,0.004000,4
28.096191,893.853540,0.004000,4
28.032715,1006.299223,0.004000,4
26.166992,868.712348,0.004000,4
26.578613,930.963547,0.005000,5
26.941406,1000.601059,0.005000,5
25.497070,926.732413,0.005000,5
25.120117,893.897681,0.010000,10
26.910156,1072.529037,0.004000,4
24.654297,942.510372,0.004000,4
23.412598,885.814626,0.004000,4
23.323730,948.634945,0.003000,3
21.867188,917.267517,0.004000,4
23.344727,984.342101,0.004000,4
23.199219,975.359726,0.005000,5
22.572266,955.978176,0.004000,4
22.565918,950.292530,0.004000,4
22.173828,923.070370,0.005000,5
22.034180,926.127738,0.004000,4
22.014160,966.720014,0.003000,3
20.927734,957.647121,0.004000,4
22.283691,978.875086,0.004000,4
21.625488,1001.371948,0.004000,4
22.199707,971.330723,0.004000,4
22.336426,1046.215431,0.006000,6
22.001465,982.923338,0.005000,5
20.956543,905.018131,0.004000,4
21.404785,952.844450,0.004000,4
21.242188,960.885681,0.004000,4
23.490723,1005.128820,0.005000,5
21.187012,894.651062,0.005000,5
22.133789,993.552413,0.004000,4
19.666992,851.208442,0.004000,4
20.457520,893.942531,0.004000,4
21.025391,926.618496,0.004000,4
20.871094,987.427719,0.004000,4
21.932129,992.339632,0.005000,5
21.479492,930.969306,0.005000,5
21.899414,954.235976,0.004000,4
21.694824,940.673958,0.004000,4
21.312500,924.458984,0.004000,4
20.718262,972.810760,0.004000,4
20.574219,892.439804,0.004000,4
22.119629,980.533052,0.004000,4
21.754395,989.539776,0.005000,5
