Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.043945,513.523459,0.009000,9
707.475586,798.754287,0.008000,8
676.811523,1083.339477,0.007000,7
638.896484,1391.946316,0.007000,7
600.263672,1662.821102,0.006000,6
557.958984,1921.322536,0.007000,7
514.746094,2075.814438,0.006000,6
471.259766,2305.541897,0.006000,6
424.780273,2265.381408,0.007000,7
378.989258,2347.660041,0.006000,6
333.686523,2350.716186,0.005000,5
289.897461,2355.800033,0.006000,6
246.713867,2357.023597,0.005000,5
207.363281,2283.477402,0.006000,6
207.363281,2283.477402,0.006000,6
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,1301
