Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.004883,517.724586,0.008000,8
712.612305,773.205161,0.007000,7
688.374023,1129.436278,0.008000,8
660.649414,1456.170058,0.008000,8
627.910156,1725.905991,0.008000,8
596.210938,1999.803162,0.007000,7
561.513672,2272.708797,0.006000,6
523.452148,2438.326812,0.006000,6
487.211914,2772.060561,0.006000,6
448.691406,2757.467270,0.006000,6
413.208008,3080.382514,0.006000,6
375.317383,3127.731299,0.008000,8
339.086914,3395.894790,0.007000,7
298.608398,3073.893523,0.006000,6
264.077148,3160.574126,0.007000,7
228.779297,3154.759884,0.006000,6
194.614258,3256.882453,0.005000,5
162.885742,2934.201789,0.004000,4
162.885742,2934.201789,0.004000,4
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,150
