Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
99.160156,1046.006577,0.003000,3
79.915039,877.511336,0.003000,3
64.919922,738.050228,0.004000,4
53.871094,675.439438,0.003000,3
45.344727,624.357726,0.003000,3
38.615723,586.660436,0.013000,13
34.373047,612.287594,0.003000,3
30.311523,595.153930,0.002000,2
28.845703,663.898067,0.002000,2
26.406738,704.018646,0.003000,3
22.838379,637.768312,0.003000,3
21.191406,635.384262,0.003000,3
21.191406,635.384262,0.003000,3
String tested,Total calculation time(milis)
gHDE,67
