Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
164.475586,2060.450576,0.003000,3
126.726074,1435.944008,0.004000,4
100.601074,1099.967323,0.003000,3
79.392090,876.558668,0.003000,3
64.837402,804.272878,0.004000,4
54.011230,793.621456,0.003000,3
45.774414,749.406142,0.004000,4
39.307129,761.671785,0.003000,3
36.435547,844.676510,0.003000,3
31.747070,801.910636,0.003000,3
28.879883,827.687720,0.003000,3
27.241211,823.659591,0.003000,3
23.948242,757.383063,0.004000,4
23.293945,831.430198,0.003000,3
22.321777,866.444799,0.003000,3
22.321777,866.444799,0.003000,3
String tested,Total calculation time(milis)
fdISBp,1390
