Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
150.522461,1601.956527,0.004000,4
118.130859,1087.041470,0.003000,3
95.344727,864.067687,0.004000,4
76.792480,832.196682,0.004000,4
60.244141,687.327114,0.004000,4
50.913574,701.056495,0.003000,3
42.471191,666.290186,0.003000,3
36.795898,657.328460,0.003000,3
31.511719,639.743027,0.003000,3
29.106934,653.008585,0.004000,4
27.494629,694.983370,0.004000,4
24.458008,738.243354,0.004000,4
23.228516,739.838406,0.004000,4
20.561523,649.689574,0.003000,3
20.561523,649.689574,0.003000,3
String tested,Total calculation time(milis)
pIHJOB,1293
