Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
270.205078,3535.091732,0.004000,4
227.653320,2551.703055,0.003000,3
193.524902,2064.999380,0.004000,4
165.817383,1703.696143,0.002000,2
142.272949,1432.994346,0.003000,3
123.609375,1312.693115,0.004000,4
107.698242,1169.085700,0.013000,13
96.131836,1182.634963,0.004000,4
85.214844,1062.990952,0.003000,3
73.794922,927.021420,0.003000,3
65.691895,924.700481,0.004000,4
59.437500,847.213867,0.003000,3
54.933105,867.731365,0.003000,3
49.410156,835.833725,0.004000,4
45.665039,855.689559,0.004000,4
41.799805,829.148398,0.004000,4
39.127930,898.987540,0.003000,3
36.282227,819.459411,0.005000,5
33.429688,782.444275,0.005000,5
31.156250,798.842773,0.009000,9
29.615723,791.769811,0.005000,5
28.921387,830.170089,0.003000,3
27.395996,835.394457,0.003000,3
26.925781,832.957382,0.003000,3
26.196289,836.904830,0.003000,3
24.159180,797.227592,0.003000,3
24.526855,895.442638,0.005000,5
22.215820,826.999320,0.003000,3
22.708008,907.348334,0.003000,3
21.810059,854.157770,0.004000,4
21.810059,854.157770,0.004000,4
String tested,Total calculation time(milis)
IjCeByNpm,180
