Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
270.205078,3535.091732,0.005000,5
215.791504,2154.170885,0.005000,5
179.320312,1648.112244,0.005000,5
146.375488,1283.048950,0.004000,4
120.882324,1162.596016,0.005000,5
101.032227,967.411071,0.005000,5
85.371582,915.391712,0.004000,4
72.845703,892.813107,0.004000,4
62.436523,865.993041,0.003000,3
53.128906,825.260727,0.004000,4
47.388672,886.110653,0.004000,4
41.923340,818.990705,0.004000,4
38.151367,793.138221,0.004000,4
34.218750,772.266602,0.004000,4
32.455078,870.015560,0.004000,4
30.611328,842.806942,0.004000,4
28.736816,881.487863,0.004000,4
26.404297,864.195919,0.005000,5
24.663574,862.092384,0.004000,4
24.066895,865.368084,0.004000,4
23.245117,849.202613,0.004000,4
22.777832,863.056598,0.003000,3
22.160645,892.625072,0.003000,3
22.160645,892.625072,0.003000,3
String tested,Total calculation time(milis)
IjCeByNpm,2172
