Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
441.699219,253.362656,0.006000,6
426.713867,526.554847,0.005000,5
404.394531,901.195908,0.005000,5
372.441406,1312.496567,0.006000,6
333.989258,1529.837775,0.005000,5
292.446289,1829.513717,0.004000,4
253.583984,2120.162868,0.004000,4
213.369141,2203.199673,0.004000,4
176.518555,2045.447898,0.005000,5
143.149414,1837.493300,0.005000,5
143.149414,1837.493300,0.005000,5
String tested,Total calculation time(milis)
IjCeByNpm,906
