Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
233.831055,2765.029075,0.005000,5
188.847168,1814.607990,0.003000,3
155.846680,1445.619071,0.004000,4
126.305664,1122.189773,0.003000,3
103.327148,984.179107,0.005000,5
86.493652,849.564413,0.003000,3
73.091309,779.606409,0.004000,4
62.346191,811.048609,0.003000,3
53.847168,808.161701,0.003000,3
47.461426,822.612770,0.004000,4
42.736816,904.682199,0.003000,3
37.397461,821.664290,0.003000,3
33.570801,825.010612,0.005000,5
30.222168,778.550739,0.004000,4
26.954590,774.510145,0.003000,3
25.781738,850.900116,0.003000,3
24.688477,838.017211,0.004000,4
23.353027,864.715704,0.003000,3
21.937500,831.298828,0.003000,3
20.802246,843.649858,0.003000,3
20.802246,843.649858,0.003000,3
String tested,Total calculation time(milis)
TBJalImUZ,1845
