Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.285156,3627.493881,0.004000,4
229.334473,2538.052679,0.003000,3
196.267090,2157.861768,0.004000,4
166.567871,1827.624300,0.003000,3
143.237793,1493.628513,0.005000,5
125.094727,1371.856261,0.003000,3
108.311523,1210.179320,0.003000,3
96.091309,1185.623987,0.004000,4
84.877441,1181.961054,0.003000,3
72.945801,1007.478019,0.004000,4
63.776855,966.718273,0.003000,3
57.334961,871.213973,0.003000,3
53.577148,940.140532,0.003000,3
47.779297,887.860470,0.003000,3
44.078125,870.877686,0.003000,3
41.235352,910.952422,0.004000,4
38.052734,875.937649,0.003000,3
36.217773,859.793395,0.004000,4
33.367188,845.184509,0.004000,4
30.575195,814.532432,0.003000,3
29.199219,839.798203,0.003000,3
28.531738,891.131805,0.003000,3
26.675293,872.359897,0.003000,3
26.264160,896.479536,0.003000,3
25.220703,879.883907,0.004000,4
23.187012,845.536804,0.004000,4
23.187012,845.536804,0.004000,4
String tested,Total calculation time(milis)
VbTHsrIpt,134
