Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.917969,273.376083,0.005000,5
425.336914,533.089614,0.005000,5
401.557617,932.388282,0.004000,4
370.737305,1227.434897,0.004000,4
336.503906,1390.999985,0.006000,6
298.701172,1664.914608,0.005000,5
263.691406,2203.658676,0.004000,4
223.701172,2242.453671,0.004000,4
182.866211,2182.068038,0.004000,4
147.270508,2030.098701,0.005000,5
147.270508,2030.098701,0.005000,5
String tested,Total calculation time(milis)
tAxrZPOes,870
