Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
288.244629,3236.311739,0.005000,5
236.503906,2051.408188,0.004000,4
200.061035,1691.315122,0.010000,10
164.883301,1296.248588,0.006000,6
138.764648,1193.794219,0.005000,5
116.260742,945.824592,0.005000,5
100.029785,928.271086,0.004000,4
86.922363,947.857742,0.004000,4
74.097656,837.663315,0.004000,4
63.719238,845.210724,0.004000,4
55.912598,817.193044,0.003000,3
50.335938,814.434998,0.004000,4
45.104492,793.500800,0.004000,4
40.550781,734.074570,0.004000,4
37.620117,772.991431,0.004000,4
35.835449,791.288841,0.005000,5
32.039062,820.014099,0.003000,3
29.891113,778.559921,0.009000,9
28.004395,792.314922,0.004000,4
26.676758,831.605475,0.004000,4
24.433594,768.208481,0.003000,3
23.765137,783.161148,0.004000,4
22.065918,775.183643,0.004000,4
21.242676,734.691597,0.003000,3
20.645508,776.396796,0.003000,3
19.276367,769.730262,0.004000,4
20.350586,796.049941,0.004000,4
19.585449,750.074730,0.004000,4
20.215820,825.751273,0.004000,4
19.523926,776.551185,0.004000,4
18.168945,735.847434,0.004000,4
19.530273,825.499084,0.004000,4
20.046875,843.842529,0.003000,3
19.900879,840.219179,0.004000,4
20.113770,857.857662,0.003000,3
19.258301,854.984550,0.004000,4
20.082520,815.032741,0.004000,4
18.867188,795.257751,0.003000,3
19.083496,797.975939,0.004000,4
17.702637,740.022415,0.004000,4
18.629395,843.290874,0.004000,4
18.511719,797.245956,0.005000,5
18.117676,771.148750,0.004000,4
20.966309,885.343103,0.004000,4
19.440918,856.994556,0.004000,4
19.833984,840.477322,0.003000,3
20.200195,838.463828,0.004000,4
18.537109,757.710537,0.004000,4
19.122559,789.721796,0.004000,4
18.354004,793.420091,0.003000,3
18.738281,790.979355,0.004000,4
19.476562,814.378357,0.004000,4
19.847168,862.045490,0.003000,3
19.852539,841.914779,0.003000,3
18.854004,829.992845,0.004000,4
18.608398,747.493133,0.003000,3
18.963379,763.414186,0.003000,3
19.040039,787.171248,0.005000,5
19.500977,824.998046,0.004000,4
18.119629,796.565279,0.005000,5
18.008301,753.183037,0.005000,5
18.044922,759.683529,0.004000,4
18.800781,755.620468,0.003000,3
18.283691,763.869226,0.004000,4
18.014160,752.258100,0.004000,4
18.473145,789.906505,0.004000,4
18.772461,795.638656,0.004000,4
18.927734,774.908840,0.003000,3
19.563477,830.864135,0.004000,4
18.190430,758.777213,0.004000,4
19.116211,825.114425,0.004000,4
20.083984,849.544704,0.004000,4
19.582031,796.590927,0.004000,4
19.855957,838.631107,0.004000,4
19.913574,879.201027,0.004000,4
18.609863,790.287735,0.005000,5
18.616699,749.460014,0.004000,4
19.734375,823.556396,0.004000,4
18.272949,752.448448,0.004000,4
19.850098,802.963369,0.005000,5
18.773926,805.611488,0.004000,4
18.867188,781.868103,0.003000,3
19.560059,804.983698,0.003000,3
18.299316,755.327890,0.004000,4
18.729492,789.918036,0.004000,4
18.388184,776.438669,0.004000,4
20.078613,806.081222,0.004000,4
19.318848,805.351949,0.004000,4
19.952148,843.853179,0.005000,5
19.083496,832.087267,0.003000,3
19.835938,837.881287,0.003000,3
18.422363,768.381668,0.004000,4
19.657227,796.952819,0.004000,4
19.097656,773.564682,0.004000,4
19.348145,839.946666,0.004000,4
19.170410,811.052503,0.004000,4
20.135742,907.080207,0.003000,3
18.955078,793.291927,0.005000,5
18.780762,762.211212,0.004000,4
19.449707,806.636142,0.004000,4
19.016602,797.689178,0.004000,4
19.510254,803.124895,0.005000,5
19.737793,854.880955,0.005000,5
19.354004,824.340013,0.004000,4
19.662598,862.152273,0.003000,3
19.867188,836.496033,0.005000,5
18.650879,802.987001,0.003000,3
19.656250,846.425781,0.004000,4
18.964355,857.310741,0.004000,4
18.836914,779.655044,0.004000,4
19.191406,832.647934,0.004000,4
19.790039,843.897323,0.004000,4
19.543945,834.123069,0.003000,3
19.360840,817.679853,0.004000,4
19.125488,831.255249,0.004000,4
18.772949,775.237999,0.003000,3
20.166504,833.791124,0.004000,4
18.826172,807.846737,0.003000,3
19.442383,843.050391,0.005000,5
19.082031,823.572372,0.004000,4
19.009766,813.212795,0.004000,4
20.100098,855.008047,0.004000,4
18.555176,784.108284,0.005000,5
19.244141,803.273403,0.004000,4
19.083496,779.627306,0.004000,4
19.548828,863.289608,0.004000,4
19.438965,787.172056,0.004000,4
17.657715,730.047392,0.004000,4
18.864746,745.670671,0.004000,4
19.306152,805.715353,0.004000,4
19.918945,843.157493,0.004000,4
19.292969,798.543076,0.003000,3
19.501953,827.761715,0.003000,3
19.378906,822.222641,0.004000,4
18.452148,742.699859,0.004000,4
17.848633,742.221229,0.004000,4
19.196777,792.729345,0.004000,4
19.011230,809.633175,0.004000,4
18.316895,757.731121,0.004000,4
19.776855,857.979992,0.003000,3
19.522949,795.723106,0.004000,4
18.776367,820.027137,0.004000,4
18.102539,724.496322,0.004000,4
18.630859,767.906704,0.003000,3
17.892578,717.424007,0.003000,3
19.768555,841.538230,0.004000,4
19.483887,818.143295,0.004000,4
19.479004,841.096239,0.004000,4
18.722168,795.794391,0.004000,4
18.155273,707.121398,0.004000,4
19.371094,817.069321,0.004000,4
19.323242,825.395514,0.004000,4
19.037598,789.890676,0.003000,3
19.022461,820.575667,0.004000,4
19.519043,789.854130,0.003000,3
18.971191,784.903955,0.004000,4
19.158203,804.038448,0.003000,3
19.675293,805.722202,0.003000,3
19.204590,779.481092,0.003000,3
18.532227,769.109313,0.003000,3
18.599121,755.178652,0.003000,3
18.236816,737.544016,0.004000,4
18.620117,784.087134,0.004000,4
19.722168,852.683063,0.004000,4
18.472168,776.415241,0.004000,4
19.482422,796.367855,0.004000,4
18.501465,768.047849,0.003000,3
20.235352,869.173125,0.003000,3
19.582031,832.968857,0.004000,4
18.547363,785.649124,0.004000,4
18.683594,776.127426,0.003000,3
20.202637,853.044388,0.004000,4
18.376953,746.200680,0.003000,3
18.461914,784.325698,0.004000,4
19.733398,874.288299,0.005000,5
18.758789,764.520919,0.004000,4
20.201172,888.702694,0.004000,4
18.832031,774.797958,0.004000,4
19.491699,808.901298,0.004000,4
19.827148,855.493560,0.004000,4
19.239258,789.781623,0.005000,5
18.752930,793.133292,0.003000,3
19.983398,836.674529,0.004000,4
18.078125,782.030029,0.004000,4
19.690430,870.643424,0.003000,3
17.600098,747.900137,0.003000,3
19.681152,831.849020,0.004000,4
19.273926,788.239906,0.003000,3
19.459473,817.672186,0.004000,4
19.804199,839.186760,0.004000,4
19.703125,803.783936,0.004000,4
18.803223,782.548681,0.004000,4
19.333496,791.476183,0.004000,4
19.171875,804.266357,0.004000,4
19.679199,822.792106,0.004000,4
18.813965,811.063535,0.005000,5
19.837402,857.859792,0.004000,4
17.996582,715.184070,0.004000,4
19.154297,827.334591,0.004000,4
19.464355,827.011425,0.004000,4
18.434082,789.746631,0.004000,4
19.164551,808.570091,0.004000,4
18.770020,800.278652,0.004000,4
19.342285,840.078642,0.004000,4
19.593262,809.413177,0.004000,4
21.259766,857.862209,0.004000,4
19.616699,846.703178,0.004000,4
20.398926,874.392128,0.003000,3
18.554688,762.418884,0.004000,4
18.730957,788.337284,0.004000,4
18.781250,805.250000,0.005000,5
18.506348,783.104452,0.004000,4
19.103027,798.611944,0.005000,5
18.431152,765.216940,0.005000,5
18.889648,814.206573,0.004000,4
19.671387,828.505783,0.003000,3
18.941895,759.863323,0.003000,3
18.745117,752.931129,0.003000,3
18.766602,804.203338,0.004000,4
18.799316,773.844980,0.004000,4
20.353027,850.643438,0.004000,4
18.864746,757.162859,0.004000,4
18.754883,764.092261,0.003000,3
19.104004,782.632250,0.003000,3
19.317871,813.729524,0.003000,3
18.433594,771.076645,0.004000,4
19.467285,832.828031,0.004000,4
20.766113,864.640121,0.004000,4
18.746094,767.613266,0.004000,4
20.699707,863.656406,0.004000,4
20.657227,840.466491,0.004000,4
18.355469,732.774033,0.005000,5
19.101562,809.620544,0.004000,4
20.123047,820.800289,0.003000,3
19.046875,829.932373,0.003000,3
18.462402,755.038625,0.004000,4
18.163574,787.828224,0.004000,4
17.812012,742.666321,0.004000,4
19.656250,805.415039,0.003000,3
19.297852,823.764800,0.004000,4
18.855469,805.334579,0.004000,4
18.578125,768.440186,0.003000,3
19.192383,789.358497,0.004000,4
19.233887,765.043442,0.004000,4
19.261719,825.772324,0.003000,3
18.869629,845.336031,0.004000,4
18.993164,811.471633,0.004000,4
19.743164,809.988723,0.004000,4
18.893555,798.271873,0.004000,4
19.511230,819.477413,0.003000,3
18.603027,757.206182,0.004000,4
20.124023,861.182860,0.004000,4
18.635254,779.994402,0.004000,4
20.140625,849.170654,0.004000,4
19.892090,829.559156,0.003000,3
19.368652,781.086263,0.004000,4
19.654297,803.243771,0.004000,4
18.647949,760.590416,0.005000,5
19.422852,798.050689,0.003000,3
18.595703,765.966427,0.004000,4
18.421875,744.408936,0.004000,4
18.759766,771.039944,0.004000,4
19.896484,833.007839,0.004000,4
18.618164,800.719436,0.004000,4
18.627441,781.864618,0.004000,4
