Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
295.131836,178.595901,0.005000,5
288.969727,363.635802,0.004000,4
277.099609,649.204922,0.004000,4
259.780273,907.617736,0.004000,4
240.249023,1097.838378,0.005000,5
222.021484,1245.230007,0.005000,5
204.785156,1411.867905,0.004000,4
186.884766,1476.818752,0.004000,4
173.242188,1621.519470,0.003000,3
155.185547,1791.762447,0.005000,5
138.935547,1956.288815,0.004000,4
138.935547,1956.288815,0.004000,4
String tested,Total calculation time(milis)
AIUGFc,57
