Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
634.506836,397.510695,0.006000,6
618.750000,647.949219,0.006000,6
596.977539,977.632308,0.006000,6
570.600586,1324.395156,0.005000,5
541.547852,1690.035796,0.007000,7
511.835938,1815.574646,0.005000,5
478.745117,2009.313941,0.006000,6
447.182617,2120.333838,0.006000,6
414.780273,2506.397033,0.005000,5
379.667969,2539.049911,0.005000,5
344.799805,2590.877891,0.005000,5
310.996094,2635.824203,0.005000,5
279.721680,2617.256522,0.004000,4
247.070312,2735.850525,0.004000,4
217.163086,2540.535903,0.004000,4
189.951172,2472.946835,0.004000,4
163.974609,2458.714199,0.004000,4
136.577148,2134.133697,0.004000,4
136.577148,2134.133697,0.004000,4
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,126
