Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.040039,391.594100,0.008000,8
572.900391,669.322109,0.006000,6
554.868164,1003.205276,0.007000,7
532.875977,1246.562743,0.005000,5
510.893555,1566.144919,0.006000,6
484.067383,1872.665381,0.006000,6
457.246094,2230.892563,0.006000,6
431.166992,2330.132270,0.006000,6
406.162109,2529.313564,0.006000,6
378.378906,2939.950180,0.006000,6
346.787109,3173.954678,0.005000,5
315.664062,3616.160583,0.005000,5
281.191406,3887.154770,0.005000,5
250.400391,3860.288906,0.004000,4
219.809570,3634.680533,0.004000,4
194.199219,3417.913437,0.004000,4
194.199219,3417.913437,0.004000,4
String tested,Total calculation time(milis)
DhXGuTbVcpMA,106
