Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
327.569824,3800.686531,0.004000,4
281.696777,2813.084326,0.003000,3
244.409668,2256.345356,0.005000,5
212.821289,1854.664351,0.003000,3
187.750000,1560.999023,0.003000,3
165.995605,1335.571758,0.003000,3
149.214844,1330.407944,0.003000,3
133.948242,1240.613532,0.003000,3
118.437012,1137.443298,0.003000,3
104.961914,1068.527846,0.003000,3
94.675781,1029.639023,0.003000,3
84.247559,912.568109,0.003000,3
77.596191,943.244653,0.003000,3
69.246582,840.965076,0.003000,3
63.823730,858.122738,0.003000,3
59.532227,883.531188,0.004000,4
56.189453,909.115475,0.003000,3
51.294434,774.382547,0.004000,4
47.761719,842.365097,0.004000,4
44.340332,827.050678,0.003000,3
41.149414,810.908340,0.003000,3
39.412109,826.974697,0.003000,3
37.292969,853.689560,0.003000,3
35.564453,828.489010,0.003000,3
33.609375,862.360107,0.003000,3
31.801270,861.467830,0.004000,4
30.319824,858.921638,0.004000,4
28.062988,815.369568,0.003000,3
28.669434,934.131449,0.003000,3
25.429688,780.872009,0.003000,3
26.416016,926.861111,0.003000,3
25.257324,853.268257,0.003000,3
23.203125,813.205811,0.004000,4
23.404785,862.720426,0.003000,3
23.464844,905.706772,0.003000,3
22.641113,875.270126,0.003000,3
21.768066,836.844156,0.004000,4
21.552246,888.013872,0.004000,4
21.416992,885.413032,0.004000,4
21.416992,885.413032,0.004000,4
String tested,Total calculation time(milis)
DhXGuTbVcpMA,200
