Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
327.569824,3800.686531,0.003000,3
290.207520,3398.238674,0.003000,3
256.867676,2879.469307,0.003000,3
228.673340,2351.352766,0.004000,4
205.280273,1953.929259,0.004000,4
187.078125,2020.236084,0.003000,3
168.175293,1840.062534,0.004000,4
153.999512,1696.701660,0.004000,4
138.993164,1488.282180,0.003000,3
128.211914,1432.055678,0.003000,3
118.411621,1338.031252,0.003000,3
110.680664,1361.609939,0.004000,4
101.566895,1312.529705,0.004000,4
95.571289,1376.698043,0.003000,3
87.738281,1192.570175,0.003000,3
81.651367,1194.019080,0.003000,3
75.821289,1126.405562,0.003000,3
69.458008,1037.463080,0.004000,4
67.204102,1069.794280,0.003000,3
63.756348,1115.754598,0.004000,4
61.291016,1071.985622,0.004000,4
57.613281,1053.075058,0.003000,3
54.749023,1054.212401,0.004000,4
52.766602,984.604705,0.003000,3
49.991211,1064.245040,0.003000,3
48.730957,985.687870,0.003000,3
47.552734,1032.935696,0.004000,4
46.036621,1017.428835,0.003000,3
44.051758,997.587165,0.004000,4
43.896484,1045.915066,0.004000,4
42.966309,1056.334314,0.004000,4
42.147949,1032.207115,0.004000,4
40.817871,1002.550325,0.004000,4
40.238770,1004.115352,0.003000,3
38.408691,994.321741,0.004000,4
36.993652,948.973104,0.004000,4
37.750000,1047.987305,0.004000,4
37.171875,1011.827881,0.005000,5
36.216309,1007.068933,0.003000,3
36.462402,1039.678274,0.004000,4
35.068848,1110.891256,0.004000,4
35.879395,1097.170513,0.003000,3
33.168457,1053.100040,0.004000,4
31.806152,975.206075,0.004000,4
31.693359,961.314175,0.004000,4
33.142578,1063.684750,0.004000,4
30.679199,996.817497,0.003000,3
30.545898,1030.348479,0.004000,4
30.420898,1031.093352,0.004000,4
29.688477,979.101195,0.004000,4
28.852539,990.726302,0.004000,4
28.786621,961.866091,0.003000,3
29.334473,1025.678655,0.004000,4
28.219238,1015.189728,0.005000,5
28.252930,1054.698722,0.004000,4
26.372070,946.306876,0.004000,4
25.874023,964.114989,0.004000,4
27.373047,1033.699703,0.005000,5
27.300293,995.146641,0.003000,3
26.300293,1001.955234,0.005000,5
25.736328,961.863094,0.004000,4
26.909180,1058.890189,0.004000,4
27.567383,1063.889991,0.004000,4
26.316895,1010.804363,0.003000,3
25.697266,1055.783352,0.005000,5
25.417480,1026.302761,0.005000,5
25.868164,1068.787307,0.004000,4
25.714844,1041.278061,0.004000,4
24.881348,996.974691,0.004000,4
24.956543,956.185123,0.004000,4
24.392578,1056.717953,0.005000,5
24.242188,990.222595,0.004000,4
24.558105,1005.564007,0.004000,4
24.444336,992.542800,0.003000,3
23.566406,953.180161,0.004000,4
23.610840,977.245527,0.004000,4
24.520020,1029.178310,0.003000,3
23.650391,962.313320,0.005000,5
23.960449,952.656151,0.004000,4
23.676270,983.991390,0.010000,10
23.656738,959.285003,0.004000,4
24.684082,1057.159473,0.004000,4
25.100098,1044.684805,0.004000,4
25.199219,1008.944687,0.004000,4
24.740234,1002.508694,0.004000,4
25.357422,1037.023617,0.005000,5
24.948242,1084.280524,0.003000,3
25.497559,1126.746088,0.005000,5
25.207520,1028.683010,0.003000,3
22.519531,922.567001,0.004000,4
23.809082,982.643726,0.004000,4
23.476074,936.481849,0.005000,5
24.280762,993.100372,0.003000,3
23.242676,988.907417,0.004000,4
23.534668,1035.690204,0.004000,4
24.747559,1048.028558,0.003000,3
23.650391,1001.633633,0.004000,4
23.019043,943.832157,0.004000,4
23.019043,943.832157,0.004000,4
String tested,Total calculation time(milis)
DhXGuTbVcpMA,487
