Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
490.034180,290.965629,0.006000,6
479.169922,520.893002,0.006000,6
463.027344,826.479721,0.006000,6
441.010742,1054.593635,0.005000,5
420.283203,1274.040890,0.005000,5
397.915039,1605.467391,0.004000,4
372.539062,1978.611755,0.004000,4
346.923828,2067.392635,0.005000,5
322.368164,2301.764846,0.005000,5
296.591797,2495.903683,0.005000,5
271.044922,2689.533138,0.005000,5
247.304688,2820.079041,0.004000,4
222.832031,2746.764755,0.004000,4
202.211914,2710.390639,0.005000,5
182.885742,2669.260383,0.003000,3
165.590820,2984.123588,0.003000,3
165.590820,2984.123588,0.003000,3
String tested,Total calculation time(milis)
EBsXFOqoKP,92
