Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.056641,3089.131557,0.004000,4
241.529297,2877.690548,0.004000,4
213.266602,2472.174041,0.004000,4
187.082031,2172.509872,0.004000,4
165.409668,1777.227192,0.004000,4
147.489746,1617.847551,0.003000,3
132.016113,1423.608627,0.003000,3
121.391113,1343.889511,0.003000,3
109.911621,1277.485842,0.003000,3
100.761719,1323.673691,0.003000,3
91.869629,1196.212007,0.003000,3
85.902344,1181.291245,0.004000,4
79.122559,1122.760858,0.003000,3
74.172363,1106.846756,0.003000,3
69.715332,1008.665546,0.003000,3
67.152832,1098.259357,0.002000,2
62.630859,1042.043423,0.004000,4
57.656250,905.053711,0.002000,2
55.261230,954.500606,0.004000,4
52.865234,940.244534,0.003000,3
51.309082,980.662769,0.003000,3
48.121582,915.970081,0.003000,3
46.761719,975.448105,0.003000,3
44.448242,873.702399,0.004000,4
42.785645,909.554149,0.003000,3
41.602539,891.655501,0.003000,3
41.349609,923.017422,0.004000,4
40.476074,939.651771,0.003000,3
38.081543,913.513370,0.003000,3
38.049805,953.017051,0.003000,3
37.340332,978.352436,0.004000,4
36.393555,934.736716,0.003000,3
34.955566,879.715311,0.003000,3
35.008301,924.787529,0.003000,3
33.523438,920.451599,0.003000,3
32.605957,932.717289,0.004000,4
31.739746,880.273576,0.003000,3
32.338379,928.465090,0.003000,3
31.502441,937.849603,0.004000,4
31.937500,1011.816406,0.003000,3
30.200195,922.119102,0.003000,3
30.601562,955.703552,0.005000,5
29.481445,971.116843,0.004000,4
28.690430,890.008658,0.004000,4
28.496094,923.891586,0.004000,4
29.588379,984.932619,0.003000,3
27.827637,919.493240,0.004000,4
27.779785,954.827970,0.003000,3
26.601074,917.230018,0.003000,3
26.428711,858.953902,0.003000,3
26.650879,928.429384,0.003000,3
26.355957,922.427494,0.003000,3
26.962891,911.299404,0.004000,4
27.185059,982.880304,0.003000,3
26.844238,960.646148,0.003000,3
24.832520,875.566189,0.004000,4
25.841797,958.923214,0.003000,3
25.864746,966.040788,0.003000,3
26.500000,937.678711,0.004000,4
