Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.043945,513.523459,0.008000,8
714.238281,814.263535,0.008000,8
692.690430,1169.470572,0.007000,7
667.939453,1381.105709,0.007000,7
644.272461,1702.986312,0.007000,7
616.489258,1969.852424,0.007000,7
588.720703,2030.492306,0.006000,6
561.894531,2226.391220,0.006000,6
532.983398,2559.116912,0.006000,6
504.912109,2810.148525,0.006000,6
475.195312,2971.934509,0.006000,6
443.188477,3044.667602,0.005000,5
413.007812,3143.492126,0.005000,5
381.972656,3192.007065,0.005000,5
352.988281,3276.910019,0.005000,5
326.420898,3247.395110,0.005000,5
301.049805,3308.028769,0.004000,4
275.375977,2970.268798,0.005000,5
254.843750,2939.916992,0.004000,4
233.798828,2918.088436,0.005000,5
215.122070,3049.887443,0.005000,5
195.000000,3157.128906,0.004000,4
175.068359,3070.210171,0.004000,4
175.068359,3070.210171,0.004000,4
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,153
