Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
154.055664,2270.309402,0.007000,7
122.714355,1757.930614,0.004000,4
98.874512,1495.532593,0.004000,4
79.664551,1242.558861,0.004000,4
65.959961,1111.341170,0.004000,4
55.038574,913.430641,0.006000,6
47.533691,870.761560,0.004000,4
42.909668,884.660297,0.004000,4
40.015137,935.163345,0.003000,3
35.597168,903.763996,0.004000,4
31.511719,851.499863,0.006000,6
28.815430,874.680778,0.004000,4
27.011230,822.514034,0.004000,4
26.977051,945.306602,0.003000,3
23.383301,854.924858,0.005000,5
23.159668,854.016010,0.005000,5
22.246582,922.282459,0.004000,4
22.246582,922.282459,0.004000,4
String tested,Total calculation time(milis)
Hello,103
